word,word_count,doc_count,doc_len,idf,tf,tf-idf
,929,350,5562,1.061883113,0.16702625,0.177362354
!,31,27,355,2.174587393,0.087323944,0.189893547
!!,10,10,122,2.605951158,0.081967213,0.213602554
!!!,1,1,6,3.605951158,0.166666667,0.60099186
!?,1,1,28,3.605951158,0.035714286,0.12878397
"""",5,5,81,2.906981153,0.061728395,0.179443281
"""""",1,1,20,3.605951158,0.05,0.180297558
"""""!",1,1,20,3.605951158,0.05,0.180297558
"""......মাইৰা",1,1,11,3.605951158,0.090909091,0.327813742
"""social",1,1,9,3.605951158,0.111111111,0.40066124
"""ইত""",1,1,7,3.605951158,0.142857143,0.51513588
"""কেনেকুৱা""",1,1,11,3.605951158,0.090909091,0.327813742
"""গেদা""উপাধি",1,1,7,3.605951158,0.142857143,0.51513588
"""চিলা""",1,1,22,3.605951158,0.045454545,0.163906871
"""জয়",1,1,13,3.605951158,0.076923077,0.277380858
"""ত""টো",1,1,7,3.605951158,0.142857143,0.51513588
"""নাৰী",1,1,12,3.605951158,0.083333333,0.30049593
"""নিজৰা",1,1,20,3.605951158,0.05,0.180297558
"""বন্ধু""",1,1,8,3.605951158,0.125,0.450743895
"""সমালোচনাৰ",1,1,7,3.605951158,0.142857143,0.51513588
"""সোণাগাছি""",1,1,10,3.605951158,0.1,0.360595116
"""হাঁহিত""",1,1,7,3.605951158,0.142857143,0.51513588
#ছাবি,1,1,13,3.605951158,0.076923077,0.277380858
#ডোগৰাকোবন,1,1,7,3.605951158,0.142857143,0.51513588
%,1,1,20,3.605951158,0.05,0.180297558
',8,7,106,2.760853118,0.075471698,0.208366273
'-নহয়নে?,1,1,12,3.605951158,0.083333333,0.30049593
'অসম,1,1,23,3.605951158,0.043478261,0.156780485
'ইমৰাণ,1,1,10,3.605951158,0.1,0.360595116
'এই,1,1,14,3.605951158,0.071428571,0.25756794
'ফাট,1,1,9,3.605951158,0.111111111,0.40066124
'মিয়া,1,1,5,3.605951158,0.2,0.721190232
(,3,3,40,3.128829903,0.075,0.234662243
(nautaki),1,1,23,3.605951158,0.043478261,0.156780485
(আমাকো),1,1,7,3.605951158,0.142857143,0.51513588
(গৰিয়া),1,1,13,3.605951158,0.076923077,0.277380858
(বৰ্তমান,1,1,21,3.605951158,0.047619048,0.17171196
(যেনে,1,1,19,3.605951158,0.052631579,0.189786903
(লাচিত,1,1,18,3.605951158,0.055555556,0.20033062
(সাংবাদিকৰ),1,1,8,3.605951158,0.125,0.450743895
(হয়তো,1,1,20,3.605951158,0.05,0.180297558
),5,5,89,2.906981153,0.056179775,0.163313548
+,2,1,29,3.605951158,0.068965517,0.248686287
+একে=,1,1,7,3.605951158,0.142857143,0.51513588
+তুমি,1,1,7,3.605951158,0.142857143,0.51513588
",",124,111,1665,1.560628179,0.074474474,0.116226963
",,",4,4,72,3.003891166,0.055555556,0.166882843
",,,",3,3,36,3.128829903,0.083333333,0.260735825
",,,,",1,1,12,3.605951158,0.083333333,0.30049593
",,,,,",2,2,23,3.304921162,0.086956522,0.287384449
",,,,???",1,1,13,3.605951158,0.076923077,0.277380858
",,,,অসমীয়া",1,1,13,3.605951158,0.076923077,0.277380858
",,,কম",1,1,13,3.605951158,0.076923077,0.277380858
",,,সাংঘাতিক",1,1,6,3.605951158,0.166666667,0.60099186
",,,হয়",1,1,5,3.605951158,0.2,0.721190232
",,ছাই",1,1,6,3.605951158,0.166666667,0.60099186
",,ৰ",1,1,9,3.605951158,0.111111111,0.40066124
",?",1,1,12,3.605951158,0.083333333,0.30049593
",I",1,1,6,3.605951158,0.166666667,0.60099186
",NRC",1,1,21,3.605951158,0.047619048,0.17171196
",।",1,1,31,3.605951158,0.032258065,0.116321005
",অ",1,1,11,3.605951158,0.090909091,0.327813742
",অভ্দ্ৰ",1,1,8,3.605951158,0.125,0.450743895
",অসমীয়া",1,1,36,3.605951158,0.027777778,0.10016531
",আ",1,1,8,3.605951158,0.125,0.450743895
",আজি",2,2,36,3.304921162,0.055555556,0.183606731
",আমাৰ",1,1,20,3.605951158,0.05,0.180297558
",আশীৰ্বাদ",1,1,7,3.605951158,0.142857143,0.51513588
",আৰু",1,1,10,3.605951158,0.1,0.360595116
",ইয়ো",1,1,19,3.605951158,0.052631579,0.189786903
",উতলা",1,1,16,3.605951158,0.0625,0.225371947
",এ",1,1,14,3.605951158,0.071428571,0.25756794
",এইজনীক",1,1,13,3.605951158,0.076923077,0.277380858
",একো",1,1,32,3.605951158,0.03125,0.112685974
",এতিয়া",1,1,15,3.605951158,0.066666667,0.240396744
",এতিয়া",1,1,27,3.605951158,0.037037037,0.133553747
",এনেকুৱা",1,1,29,3.605951158,0.034482759,0.124343143
",কত",1,1,19,3.605951158,0.052631579,0.189786903
",কথাত",1,1,6,3.605951158,0.166666667,0.60099186
",কাষ্টামাৰ",1,1,11,3.605951158,0.090909091,0.327813742
",কি",1,1,27,3.605951158,0.037037037,0.133553747
",কিন্তু",1,1,19,3.605951158,0.052631579,0.189786903
",ক্ষমতা",1,1,21,3.605951158,0.047619048,0.17171196
",কৰ্ম",1,1,11,3.605951158,0.090909091,0.327813742
",খেণুক",1,1,17,3.605951158,0.058823529,0.212114774
",খেতি-পথাৰ",1,1,21,3.605951158,0.047619048,0.17171196
",গাড়ী",1,1,10,3.605951158,0.1,0.360595116
