task_1,word,word_count,df,doc_len,idf,tf,tf-idf,,,,,,,,,,,,,
HOF,।,248,218,2897,1.267494664,0.085605799,0.108504894,,,,,,,,,,,,,
HOF,নাই,202,197,2237,1.311484931,0.090299508,0.118426444,,,,,,,,,,,,,
NOT,ভাল,200,184,2342,1.341133335,0.085397096,0.114528893,,,,,,,,,,,,,
HOF,,641,179,3052,1.353098127,0.210026212,0.284186074,,,,,,,,4036,,,,,
NOT,।,214,179,2500,1.353098127,0.0856,0.1158252,,,,,,,,,,,,,
NOT,,288,171,2510,1.372955047,0.114741036,0.157534284,,,,,,,,,,,,,
HOF,আৰু,176,165,2315,1.388467213,0.076025918,0.105559494,,,,,,,,,,,,,
HOF,লাগে,155,150,1529,1.429859899,0.101373447,0.144949826,,,,,,,,,,,,,
NOT,আৰু,159,150,2200,1.429859899,0.072272727,0.103339874,,,,,,,,,,,,,
HOF,কি,140,135,1826,1.475617389,0.076670318,0.113136054,,,,,,,,,,,,,
HOF,এই,136,133,1594,1.482099517,0.08531995,0.126452656,,,,,,,,,,,,,
HOF,কৰি,138,131,1897,1.488679862,0.072746442,0.108296163,,,,,,,,,,,,,
HOF,আছে,133,123,1569,1.516046046,0.084767368,0.128511233,,,,,,,,,,,,,
HOF,ভাল,121,116,1335,1.541493168,0.090636704,0.13971586,,,,,,,,,,,,,
HOF,কৰিব,106,102,1184,1.597350986,0.089527027,0.143006085,,,,,,,,,,,,,
HOF,বুলি,109,102,1382,1.597350986,0.078871201,0.125984991,,,,,,,,,,,,,
HOF,দিব,101,99,1024,1.610315963,0.098632813,0.158829992,,,,,,,,,,,,,
HOF,কথা,107,97,1401,1.619179423,0.076374019,0.123663239,,,,,,,,,,,,,
NOT,কথা,101,96,1323,1.623679925,0.076341648,0.123954401,,,,,,,,,,,,,
NOT,বহুত,104,95,1150,1.628227552,0.090434783,0.147248405,,,,,,,,,,,,,
NOT,লাগে,94,93,1068,1.637468209,0.088014981,0.144121734,,,,,,,,,,,,,
NOT,এই,95,91,1288,1.646909765,0.073757764,0.121472382,,,,,,,,,,,,,
NOT,কি,97,91,1111,1.646909765,0.087308731,0.143789601,,,,,,,,,,,,,
NOT,কৰি,95,90,1164,1.651708648,0.08161512,0.1348044,,,,,,,,,,,,,
NOT,নাই,91,89,1115,1.656561151,0.08161435,0.135199161,,,,,,,,,,,,,
HOF,পৰা,87,84,1139,1.681671872,0.076382792,0.128450793,,,,,,,,,,,,,
NOT,কৰিব,89,84,1156,1.681671872,0.076989619,0.129471277,,,,,,,,,,,,,
HOF,কাম,85,82,1024,1.692137305,0.083007813,0.140460616,,,,,,,,,,,,,
NOT,আছে,88,82,1002,1.692137305,0.087824351,0.148610861,,,,,,,,,,,,,
HOF,হৈ,83,80,1004,1.702861171,0.082669323,0.14077438,,,,,,,,,,,,,
NOT,পৰা,83,80,1123,1.702861171,0.073909172,0.125857059,,,,,,,,,,,,,
HOF,আমাৰ,82,79,1072,1.708324066,0.076492537,0.130674042,,,,,,,,,,,,,
NOT,মই,83,76,1120,1.725137565,0.074107143,0.127845016,,,,,,,,,,,,,
NOT,আমাৰ,85,75,1049,1.730889894,0.081029552,0.140253233,,,,,,,,,,,,,
NOT,আমি,74,67,929,1.779876355,0.079655544,0.141777019,,,,,,,,,,,,,
NOT,কিন্তু,66,66,1031,1.786407222,0.064015519,0.114357785,,,,,,,,,,,,,
HOF,কেলা,68,65,537,1.793037801,0.126629423,0.227051342,,,,,,,,,,,,,
