word,word_count,df,doc_len,idf,tf,tf-idf,,,,,,
,11,7,166,2.26245109,0.06626506,0.149921458,,,,,,
!,20,16,390,1.903429147,0.051282051,,,,,,,
!!,3,3,51,2.630427875,0.058823529,,,,,,,
!!!,1,1,14,3.10754913,0.071428571,,,,,,,1281
!!!!!,1,1,12,3.10754913,0.083333333,,,,,,,
!!!😊,1,1,32,3.10754913,0.03125,,,,,,,
!?,1,1,40,3.10754913,0.025,,,,,,,
"""",14,11,340,2.066156445,0.041176471,,,,,,,
"""""",2,1,26,3.10754913,0.076923077,,,,,,,
"""....",1,1,52,3.10754913,0.019230769,,,,,,,
"""অন্ধ",1,1,39,3.10754913,0.025641026,,,,,,,
"""অসফল",1,1,4,3.10754913,0.25,,,,,,,
"""আম",1,1,12,3.10754913,0.083333333,,,,,,,
"""গাড়",1,1,22,3.10754913,0.045454545,,,,,,,
"""চলো,",1,1,116,3.10754913,0.00862069,,,,,,,
"""চিত্ত",1,1,18,3.10754913,0.055555556,,,,,,,
"""ঠিক",2,1,15,3.10754913,0.133333333,,,,,,,
"""ঠিক""",1,1,15,3.10754913,0.066666667,,,,,,,
"""বর্তমান",2,1,37,3.10754913,0.054054054,,,,,,,
"""বেটি",1,1,17,3.10754913,0.058823529,,,,,,,
"""বেশি",4,4,50,2.505489138,0.08,,,,,,,
"""বোম",1,1,33,3.10754913,0.03030303,,,,,,,
"""ব্রাত্য""",1,1,19,3.10754913,0.052631579,,,,,,,
"""ব্রাত্য"".",1,1,2,3.10754913,0.5,,,,,,,
"""ব্রাত্য""।",1,1,4,3.10754913,0.25,,,,,,,
"""মোদি",1,1,17,3.10754913,0.058823529,,,,,,,
"""মোদী",1,1,65,3.10754913,0.015384615,,,,,,,
"""যেমন",1,1,39,3.10754913,0.025641026,,,,,,,
"""শিক্ষামন্ত্রী""",1,1,11,3.10754913,0.090909091,,,,,,,
"""সব",1,1,37,3.10754913,0.027027027,,,,,,,
"""সারদা""",1,1,18,3.10754913,0.055555556,,,,,,,
#,1,1,137,3.10754913,0.00729927,,,,,,,
#AparnaSen,1,1,49,3.10754913,0.020408163,,,,,,,
