word,word_count,df,doc_len,idf,tf,tf-idf,,,,,,,,
!,2,2,35,2.9240207,0.057142857,0.167086897,,,,,,,,
'पिसा,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,1679
",",6,5,90,2.526080692,0.066666667,0.168405379,,,,,,,,
",जनक,सानसुमा",1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
",मा",1,1,14,3.225050696,0.071428571,0.230360764,,,,,,,,
",मैला",1,1,15,3.225050696,0.066666667,0.21500338,,,,,,,,
1,2,2,20,2.9240207,0.1,0.29240207,,,,,,,,
12,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
17,3,3,41,2.747929441,0.073170732,0.201068008,,,,,,,,
17बोसोराव,1,1,28,3.225050696,0.035714286,0.115180382,,,,,,,,
17बोसोरावनो,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
2024,1,1,19,3.225050696,0.052631579,0.16973951,,,,,,,,
32,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
6,1,1,10,3.225050696,0.1,0.32250507,,,,,,,,
7,1,1,28,3.225050696,0.035714286,0.115180382,,,,,,,,
75000,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
:-,1,1,24,3.225050696,0.041666667,0.134377112,,,,,,,,
?,7,7,63,2.379952656,0.111111111,0.264439184,,,,,,,,
??,1,1,27,3.225050696,0.037037037,0.119446322,,,,,,,,
????,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
A/C,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
AASU,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
ABSU,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
AGREEMENT,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
Accord,3,3,35,2.747929441,0.085714286,0.235536809,,,,,,,,
Agreement,1,1,18,3.225050696,0.055555556,0.179169483,,,,,,,,
BJP,7,6,95,2.446899446,0.073684211,0.180297854,,,,,,,,
BONSU,1,1,19,3.225050696,0.052631579,0.16973951,,,,,,,,
BPF,7,6,96,2.446899446,0.072916667,0.178419751,,,,,,,,
BTC,3,3,44,2.747929441,0.068181818,0.187358826,,,,,,,,
BTR,11,10,105,2.225050696,0.104761905,0.233100549,,,,,,,,
Beltblock,1,1,19,3.225050696,0.052631579,0.16973951,,,,,,,,
Bnsu,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
Bodoland,5,5,50,2.526080692,0.1,0.252608069,,,,,,,,
Bonsu,2,2,46,2.9240207,0.043478261,0.127131335,,,,,,,,
Box,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
Bpf,1,1,34,3.225050696,0.029411765,0.094854432,,,,,,,,
Btr,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
CCTOA,1,1,48,3.225050696,0.020833333,0.067188556,,,,,,,,
CEM,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
Caption,1,1,4,3.225050696,0.25,0.806262674,,,,,,,,
Card,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
Comment,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
Contribution,1,1,19,3.225050696,0.052631579,0.16973951,,,,,,,,
Department,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
Development,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
Digital,2,2,25,2.9240207,0.08,0.233921656,,,,,,,,
EM,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
Emotion,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
FIR,2,2,29,2.9240207,0.068965517,0.2016566,,,,,,,,
Facebook,1,1,8,3.225050696,0.125,0.403131337,,,,,,,,
Famous,1,1,6,3.225050696,0.166666667,0.537508449,,,,,,,,
Group,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
Help,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
ICDS,1,1,14,3.225050696,0.071428571,0.230360764,,,,,,,,
ISL,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
Job,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
"Job,",1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
MLA,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
Maker.,1,1,15,3.225050696,0.066666667,0.21500338,,,,,,,,
NDFB,2,2,30,2.9240207,0.066666667,0.194934713,,,,,,,,
News,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
Next,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
One,2,1,17,3.225050696,0.117647059,0.379417729,,,,,,,,
Politics,1,1,16,3.225050696,0.0625,0.201565669,,,,,,,,
Post,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
Pradesh,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
President,1,1,19,3.225050696,0.052631579,0.16973951,,,,,,,,
RSS,1,1,12,3.225050696,0.083333333,0.268754225,,,,,,,,
React,1,1,11,3.225050696,0.090909091,0.293186427,,,,,,,,
Self,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
Team,1,1,7,3.225050696,0.142857143,0.460721528,,,,,,,,
Tiger,1,1,5,3.225050696,0.2,0.645010139,,,,,,,,
Trouble,1,1,15,3.225050696,0.066666667,0.21500338,,,,,,,,
UPPL,8,8,93,2.321960709,0.086021505,0.199738556,,,,,,,,
Uppl,1,1,9,3.225050696,0.111111111,0.358338966,,,,,,,,
Video,15,14,180,2.07892266,0.083333333,0.173243555,,,,,,,,
Vote,1,1,17,3.225050696,0.058823529,0.189708864,,,,,,,,
YouTuber,1,1,13,3.225050696,0.076923077,0.248080823,,,,,,,,
Youth,1,1,34,3.225050696,0.029411765,0.094854432,,,,,,,,
