,word,word_count,doc_count,doc_len
1,!,16,13,159
2,!!,6,6,81
3,!!!,1,1,6
4,!?,1,1,28
5,"""",4,4,66
6,"""social",1,1,9
7,"""ইত""",1,1,7
8,"""গেদা""উপাধি",1,1,7
9,"""চিলা""",1,1,22
10,"""জয়",1,1,13
11,"""ত""টো",1,1,7
12,"""নাৰী",1,1,12
13,"""নিজৰা",1,1,20
14,"""বন্ধু""",1,1,8
15,"""সমালোচনাৰ",1,1,7
16,"""হাঁহিত""",1,1,7
17,%,1,1,20
18,',6,5,72
19,'-নহয়নে?,1,1,12
20,'ইমৰাণ,1,1,10
21,'এই,1,1,14
22,'ফাট,1,1,9
23,'মিয়া,1,1,5
24,(,3,3,40
25,(আমাকো),1,1,7
26,(বৰ্তমান,1,1,21
27,(যেনে,1,1,19
28,),3,3,51
29,+,2,1,29
30,+একে=,1,1,7
31,+তুমি,1,1,7
32,",",86,76,1116
33,",,",2,2,22
34,",,,",3,3,36
35,",,,,অসমীয়া",1,1,13
36,",,,কম",1,1,13
37,",,,সাংঘাতিক",1,1,6
38,",,,হয়",1,1,5
39,",,ছাই",1,1,6
40,",,ৰ",1,1,9
41,",I",1,1,6
42,",NRC",1,1,21
43,",।",1,1,31
44,",অ",1,1,11
45,",অভ্দ্ৰ",1,1,8
46,",অসমীয়া",1,1,36
47,",আ",1,1,8
48,",আজি",1,1,22
49,",আশীৰ্বাদ",1,1,7
50,",ইয়ো",1,1,19
51,",উতলা",1,1,16
52,",এ",1,1,14
53,",এইজনীক",1,1,13
54,",একো",1,1,32
55,",এতিয়া",1,1,15
56,",এতিয়া",1,1,27
57,",কত",1,1,19
58,",কথাত",1,1,6
59,",কিন্তু",1,1,19
60,",ক্ষমতা",1,1,21
61,",খেতি-পথাৰ",1,1,21
62,",গাড়ী",1,1,10
63,",চকু",1,1,8
64,",চোৰ,ডকাইত",1,1,11
65,",জনসংখ্যা",1,1,21
66,",জহৰীক",1,1,12
67,",জাতি",1,1,16
68,",টাওনত",1,1,19
69,",তেওঁলোকে",1,1,24
70,",দুই",1,1,16
71,",দুৰ্নীতি",1,1,33
72,",ধন-সম্পত্তি",1,1,21
73,",ধৰ্ষণ",1,1,11
74,",প্ৰকৃততে",1,1,11
75,",বিজেপিয়ে",1,1,34
76,",ব্যৱসায়",1,1,21
77,",ভাল",1,1,38
78,",মই",1,1,21
79,",মন্ত্ৰী",1,1,30
80,",শিকিব",1,1,33
81,",শিক্ষা",1,1,21
82,",শিক্ষিত",1,1,16
83,",সংস্থাপন",1,1,21
84,",সছা",1,1,14
85,",সাজ",1,1,25
86,",সিহঁতক",1,1,13
87,",সোনোৱাল-কছাৰী",1,1,19
88,",ৰাইজে",1,1,7
89,",ৰাজনীতি",1,1,21
90,",🙏",1,1,13
91,-,2,2,46
92,--!,1,1,24
93,----।,1,1,11
94,--কিন্তু,1,1,12
95,-কেইটা,1,1,6
96,-তাকো,1,1,17
97,-তুগোল,1,1,25
98,-নিদিৰ্ষ্ট,1,1,17
99,-পোনচাতেই,1,1,13
100,-প্ৰজন্মক,1,1,25
101,-বঙালী,1,1,15
102,-বাকী,1,1,21
103,-শিষ্যৰ,1,1,14
104,-সকলৰ,1,1,14
105,.,7,6,85
106,..,2,2,48
107,...,7,6,77
108,...!,1,1,7
109,....,2,2,21
110,.....,1,1,19
111,....জয়,1,1,21
112,...কাহিনী,1,1,34
113,...তুমি,1,1,7
114,...ভাল,1,1,21
115,...মই,1,1,15
116,...মা,1,1,8
117,..।,1,1,8
118,..অইজোনে,1,1,12
119,..জাতি-জনজাতিৰ,1,1,19
120,..😒,1,1,5
121,.।,1,1,11
122,.আৰু,2,2,26
123,.কি,1,1,45
124,.পেটত,1,1,15
125,.ভাষা,1,1,20
126,/24,1,1,31
127,1,4,4,54
128,10,3,3,57
129,100%,1,1,13
130,100k,1,1,6
131,10জন,1,1,14
132,11.6k,1,1,13
133,13,1,1,19
134,15,2,2,53
135,1500,1,1,29
136,1936,1,1,12
137,1971,1,1,31
138,1গোট,1,1,12
139,2,5,5,110
140,200,1,1,11
141,2024ৰ,1,1,13
142,2030,1,1,13
143,20জন,1,1,14
144,2তা,2,1,8
145,2মাৰ,2,2,45
146,300,1,1,7
147,3000,1,1,6
148,300K,1,1,7
149,31,1,1,20
150,365,1,1,29
151,37,1,1,18
152,40,1,1,6
153,47,1,1,18
154,5,2,2,26
155,50%মানুহে,1,1,30
156,5000,1,1,30
157,5জি,1,1,11
158,60-40,1,1,19
159,75,1,1,20
160,80,1,1,6
161,"90,000",1,1,15
162,960,1,1,57
163,99%,1,1,8
164,=,1,1,29
165,=জুই,1,1,7
166,?,52,50,574
167,??,5,4,80
168,???,3,3,24
169,????,1,1,6
170,?????,1,1,17
171,?আইমি,1,1,14
172,?জয়ই,1,1,14
173,?নে,1,1,16
174,?পাৰিলে,1,1,14
175,A,1,1,10
176,AAP,2,2,23
177,AC,1,1,20
178,AGP,3,2,28
179,AJG,1,1,33
180,APSC,1,1,10
181,Aapunar,2,1,50
182,Abed,1,1,6
183,Ali,1,1,6
184,Amsu,1,1,9
185,BA,1,1,18
186,BEEO,1,1,8
187,BJP,2,2,28
188,BJPৰ,1,1,7
189,Bipasha,1,1,20
190,CAA,1,1,15
191,CM,2,2,30
192,Cannel,1,1,11
193,Care,2,2,19
194,City,1,1,50
195,Clien,1,1,10
196,Comment,1,1,9
197,DB,1,1,12
198,DGP,1,1,5
199,Daa,1,1,52
200,Das,1,1,14
201,Dbnews,1,1,8
202,Dom,1,1,20
203,Driver,1,1,50
204,Eenkoi,1,1,50
205,English2,1,1,13
206,Ex-MLA,1,1,34
207,Expiry,1,1,7
208,Go,1,1,13
209,Govt,1,1,32
210,H.S.,1,1,15
211,H.S.L.C,1,1,15
212,HALALA,1,1,6
213,HBS,2,2,19
214,Hello...,1,1,50
215,Himonto,1,1,32
216,Hindu,1,1,25
217,I,5,4,53
218,IIT,1,1,20
219,Indian,1,1,7
220,Industry,1,1,6
221,Interview,1,1,12
222,Iran,1,1,7
223,J.S.B.,1,1,11
224,JCB,2,1,15
225,Jsb,1,1,26
226,LP,1,1,50
227,Love,1,1,52
228,MBখিনি,1,1,6
229,MGF,1,1,12
230,Media,3,3,29
231,Minister,1,1,17
232,Mr,1,1,26
233,NRC,3,3,53
234,News,2,2,21
235,No,1,1,16
236,OPEN,1,1,11
237,PM,1,1,9
238,PORN,1,1,26
239,Party,1,1,7
240,Police,1,1,50
241,Popular,1,1,8
242,Porn,2,2,32
243,Prubali,1,1,15
244,RSS,1,1,12
245,Roast,1,1,10
246,SOP,1,1,15
247,STAR,1,1,26
248,SUPERHIT,1,1,13
249,Simple,1,1,9
250,Social,1,1,8
251,South,1,1,7
252,TEX,1,1,20
253,TRP,4,4,44
254,TV,2,2,22
255,Telecast,1,1,14
256,There,1,1,15
257,U1,1,1,29
258,United,1,1,8
259,VCD,2,1,17
260,Zubeen,1,1,52
261,a,1,1,10
262,aap,1,1,18
263,act,1,1,25
264,advice,1,1,50
265,agp,1,1,33
266,ali.,1,1,20
267,ase,1,1,20
268,back,1,1,13
269,bagrund,1,1,12
270,bari,1,1,5
271,best,1,1,9
272,beya,1,1,9
273,bf,1,1,28
274,bgp,1,1,33
275,big,3,3,67
276,birthday,1,1,16
277,bjp,2,2,18
278,bjpয়ে,1,1,27
279,bl,1,1,5
280,bosor,1,1,18
281,bozai,1,1,18
282,bro,1,1,9
283,bus,1,1,50
284,business,1,1,16
285,busy,1,1,50
286,but,1,1,15
287,caa,1,1,13
288,call,2,1,64
289,case,1,1,14
290,channel,1,1,11
291,cm,1,1,9
292,coment,1,1,15
293,comment,4,4,56
294,"content,",1,1,4
295,counting,1,1,16
296,dangerous,1,1,10
297,date,1,1,7
298,de,1,1,20
299,delivery,1,1,24
300,demesh,1,1,15
301,develpoment,1,1,9
302,dialogue,1,1,21
303,dibrugarhত,1,1,19
304,divorcee,1,1,9
305,diye,1,1,15
306,dresses,1,1,16
307,duty,1,1,50
308,e,1,1,5
309,enjoy,1,1,12
310,enkoi,1,1,50
311,evm,1,1,19
312,exam,2,1,24
313,fassion,1,1,27
314,fb,1,1,15
315,free,3,2,31
316,frnd,1,1,9
317,frnd-best,1,1,9
318,"gedha,enkua",1,1,32
319,goli,1,1,20
320,gom,1,1,15
321,good.,1,1,18
322,govt,2,1,32
323,hai.,1,1,20
324,hota,1,1,20
325,importance,1,1,10
326,independent,1,1,12
327,insulant.....,1,1,50
328,insult,1,1,11
329,interview,1,1,20
330,is,2,2,25
331,jalakia,1,1,15
332,job,2,2,82
333,jsb,1,1,19
334,judi,1,1,20
335,ketiyba,1,1,32
336,khene,1,1,50
337,khojuti,1,1,15
338,kidnap,1,1,9
